seed,episode,average_reward,success_rate,epsilon,loss
84,440,57.8,80.0,0.11019338598389174,7.82815459913103
84,450,21.5,60.0,0.10480604571960442,7.553905269065079
84,460,80.9,90.0,0.0996820918179746,7.703072853493135
84,470,111.2,100.0,0.09480864735409487,7.854921394251553
84,480,92.9,90.0,0.09017346495423652,7.539916265668147
84,490,114.7,100.0,0.08576489601717459,7.48002784498438
84,500,116.4,100.0,0.08157186144027828,7.047910900385233
123,10,-158.7,0.0,0.9511101304657719,2.783157991314089
123,20,-126.6,0.0,0.9046104802746175,4.34105431449043
123,30,-131.9,0.0,0.8603841919146962,5.600148404681487
123,40,-119.1,0.0,0.8183201210226743,6.119709037194649
123,50,-121.5,0.0,0.778312557068642,6.680758425316941
123,60,-117.0,0.0,0.7402609576967045,6.774661627125828
123,70,-101.6,10.0,0.7040696960536299,7.575931352598606
123,80,-124.6,0.0,0.6696478204705644,6.970202063744887
123,90,-120.8,0.0,0.6369088258938781,6.704205375396842
123,100,-99.5,10.0,0.6057704364907278,7.925926783316873
123,110,-89.5,20.0,0.5761543988830038,6.783226568927843
123,120,-94.4,10.0,0.547986285490042,7.490326509310451
123,130,-93.0,10.0,0.5211953074858876,7.909960270027009
123,140,-86.6,10.0,0.49571413690105054,7.4914753353169985
123,150,-118.2,0.0,0.47147873742168567,7.349503621356715
123,160,-68.7,20.0,0.4484282034609769,8.04638195780804
123,170,-108.2,0.0,0.42650460709830135,8.164355480152627
123,180,-88.0,10.0,0.40565285250151817,7.925529035192204
123,190,-88.0,10.0,0.3858205374665315,8.577030195267566
123,200,-63.6,20.0,0.3669578217261671,7.957974638096208
123,210,-78.8,20.0,0.34901730169741024,7.771302867284895
123,220,-109.9,0.0,0.33195389135223546,7.86075628713378
123,230,-69.8,20.0,0.3157247089126454,8.250189002360667
123,240,-47.9,30.0,0.30028896908517405,8.227924654291957
123,250,-94.0,40.0,0.285607880564032,8.303648756468087
123,260,-68.6,60.0,0.27164454854530906,7.9554631937748495
123,270,-32.9,40.0,0.2583638820072446,7.549700760552649
123,280,-38.5,40.0,0.2457325055235537,7.3797814448917505
123,290,0.1,50.0,0.23371867538818816,7.1423248881659775
123,300,-21.7,40.0,0.22229219984074702,7.050591232993322
123,310,-55.4,50.0,0.21142436319205632,6.503392739045944
123,320,-189.0,10.0,0.2010878536592394,6.1031992682138725
123,330,-145.2,10.0,0.1912566947289212,5.438214804383485
123,340,-145.6,0.0,0.18190617987607657,4.261696857136103
123,350,-114.7,0.0,0.1730128104744653,4.509064162738178
123,360,-116.0,0.0,0.16455423674261854,4.3597171832670485
123,370,-111.2,0.0,0.15650920157696743,4.4466452370743665
123,380,-108.2,0.0,0.14885748713096328,5.0324952587982015
123,390,-106.0,0.0,0.14157986400593744,4.631894277905425
123,400,-106.5,0.0,0.1346580429260134,3.8703138586506247
123,410,-107.6,0.0,0.12807462877562611,5.739296969572703
123,420,-106.2,0.0,0.12181307688414106,5.2753900788103545
123,430,-111.1,0.0,0.11585765144771248,5.255688948653963
123,440,-106.7,0.0,0.11019338598389174,5.1103738428279755
123,450,-106.0,0.0,0.10480604571960442,5.208451514877379
123,460,-108.8,0.0,0.0996820918179746,5.159173662008511
123,470,-106.9,0.0,0.09480864735409487,5.037790303565562
123,480,-106.9,0.0,0.09017346495423652,5.2604855368658905
123,490,-106.2,0.0,0.08576489601717459,5.6698889729877315
123,500,-120.4,0.0,0.08157186144027828,5.042378926131364
